Datum;Sonnenaufgang;Sonnenuntergang;Mittag;Sonnenlicht (Std.);DST;Ort
01.06.2018;05:23:42;21:10:11;13:16:57;15:46:29;Sommerzeit;Immenstadt
02.06.2018;05:23:06;21:11:07;13:17:06;15:48:01;Sommerzeit;Immenstadt
03.06.2018;05:22:32;21:12:00;13:17:16;15:49:28;Sommerzeit;Immenstadt
04.06.2018;05:22:00;21:12:52;13:17:26;15:50:52;Sommerzeit;Immenstadt
05.06.2018;05:21:31;21:13:42;13:17:37;15:52:11;Sommerzeit;Immenstadt
06.06.2018;05:21:04;21:14:30;13:17:47;15:53:26;Sommerzeit;Immenstadt
07.06.2018;05:20:40;21:15:17;13:17:59;15:54:37;Sommerzeit;Immenstadt
08.06.2018;05:20:19;21:16:01;13:18:10;15:55:42;Sommerzeit;Immenstadt
09.06.2018;05:20:00;21:16:43;13:18:22;15:56:43;Sommerzeit;Immenstadt
10.06.2018;05:19:44;21:17:23;13:18:33;15:57:39;Sommerzeit;Immenstadt
11.06.2018;05:19:30;21:18:01;13:18:46;15:58:31;Sommerzeit;Immenstadt
12.06.2018;05:19:19;21:18:37;13:18:58;15:59:18;Sommerzeit;Immenstadt
13.06.2018;05:19:10;21:19:10;13:19:10;16:00:00;Sommerzeit;Immenstadt
14.06.2018;05:19:05;21:19:42;13:19:23;16:00:37;Sommerzeit;Immenstadt
15.06.2018;05:19:01;21:20:10;13:19:36;16:01:09;Sommerzeit;Immenstadt
16.06.2018;05:19:01;21:20:37;13:19:49;16:01:36;Sommerzeit;Immenstadt
17.06.2018;05:19:02;21:21:01;13:20:02;16:01:59;Sommerzeit;Immenstadt
18.06.2018;05:19:07;21:21:23;13:20:15;16:02:16;Sommerzeit;Immenstadt
19.06.2018;05:19:14;21:21:42;13:20:28;16:02:28;Sommerzeit;Immenstadt
20.06.2018;05:19:23;21:21:59;13:20:41;16:02:36;Sommerzeit;Immenstadt
21.06.2018;05:19:35;21:22:13;13:20:54;16:02:38;Sommerzeit;Immenstadt
22.06.2018;05:19:50;21:22:24;13:21:07;16:02:34;Sommerzeit;Immenstadt
23.06.2018;05:20:07;21:22:33;13:21:20;16:02:26;Sommerzeit;Immenstadt
24.06.2018;05:20:26;21:22:40;13:21:33;16:02:14;Sommerzeit;Immenstadt
25.06.2018;05:20:48;21:22:44;13:21:46;16:01:56;Sommerzeit;Immenstadt
26.06.2018;05:21:12;21:22:45;13:21:58;16:01:33;Sommerzeit;Immenstadt
27.06.2018;05:21:38;21:22:44;13:22:11;16:01:06;Sommerzeit;Immenstadt
28.06.2018;05:22:07;21:22:40;13:22:23;16:00:33;Sommerzeit;Immenstadt
29.06.2018;05:22:38;21:22:33;13:22:35;15:59:55;Sommerzeit;Immenstadt
30.06.2018;05:23:11;21:22:24;13:22:47;15:59:13;Sommerzeit;Immenstadt
01.07.2018;05:23:46;21:22:12;13:22:59;15:58:26;Sommerzeit;Immenstadt
02.07.2018;05:24:24;21:21:57;13:23:10;15:57:33;Sommerzeit;Immenstadt
03.07.2018;05:25:03;21:21:40;13:23:22;15:56:37;Sommerzeit;Immenstadt
04.07.2018;05:25:45;21:21:20;13:23:32;15:55:35;Sommerzeit;Immenstadt
05.07.2018;05:26:28;21:20:58;13:23:43;15:54:30;Sommerzeit;Immenstadt
06.07.2018;05:27:13;21:20:33;13:23:53;15:53:20;Sommerzeit;Immenstadt
07.07.2018;05:28:01;21:20:05;13:24:03;15:52:04;Sommerzeit;Immenstadt
08.07.2018;05:28:50;21:19:35;13:24:12;15:50:45;Sommerzeit;Immenstadt
09.07.2018;05:29:41;21:19:02;13:24:21;15:49:21;Sommerzeit;Immenstadt
10.07.2018;05:30:33;21:18:27;13:24:30;15:47:54;Sommerzeit;Immenstadt
11.07.2018;05:31:27;21:17:49;13:24:38;15:46:22;Sommerzeit;Immenstadt
12.07.2018;05:32:23;21:17:09;13:24:46;15:44:46;Sommerzeit;Immenstadt
13.07.2018;05:33:20;21:16:26;13:24:53;15:43:06;Sommerzeit;Immenstadt
14.07.2018;05:34:19;21:15:41;13:25:00;15:41:22;Sommerzeit;Immenstadt
15.07.2018;05:35:19;21:14:53;13:25:06;15:39:34;Sommerzeit;Immenstadt
16.07.2018;05:36:21;21:14:03;13:25:12;15:37:42;Sommerzeit;Immenstadt
17.07.2018;05:37:23;21:13:11;13:25:17;15:35:48;Sommerzeit;Immenstadt
18.07.2018;05:38:27;21:12:16;13:25:22;15:33:49;Sommerzeit;Immenstadt
19.07.2018;05:39:33;21:11:19;13:25:26;15:31:46;Sommerzeit;Immenstadt
20.07.2018;05:40:39;21:10:20;13:25:30;15:29:41;Sommerzeit;Immenstadt
21.07.2018;05:41:46;21:09:19;13:25:33;15:27:33;Sommerzeit;Immenstadt
22.07.2018;05:42:55;21:08:16;13:25:35;15:25:21;Sommerzeit;Immenstadt
23.07.2018;05:44:04;21:07:10;13:25:37;15:23:06;Sommerzeit;Immenstadt
24.07.2018;05:45:15;21:06:02;13:25:38;15:20:47;Sommerzeit;Immenstadt
25.07.2018;05:46:26;21:04:53;13:25:39;15:18:27;Sommerzeit;Immenstadt
26.07.2018;05:47:38;21:03:41;13:25:39;15:16:03;Sommerzeit;Immenstadt
27.07.2018;05:48:51;21:02:27;13:25:39;15:13:36;Sommerzeit;Immenstadt
28.07.2018;05:50:04;21:01:12;13:25:38;15:11:08;Sommerzeit;Immenstadt
29.07.2018;05:51:19;20:59:54;13:25:36;15:08:35;Sommerzeit;Immenstadt
30.07.2018;05:52:33;20:58:35;13:25:34;15:06:02;Sommerzeit;Immenstadt
31.07.2018;05:53:49;20:57:14;13:25:31;15:03:25;Sommerzeit;Immenstadt
01.08.2018;05:55:05;20:55:51;13:25:28;15:00:46;Sommerzeit;Immenstadt
02.08.2018;05:56:21;20:54:26;13:25:24;14:58:05;Sommerzeit;Immenstadt
03.08.2018;05:57:38;20:53:00;13:25:19;14:55:22;Sommerzeit;Immenstadt
04.08.2018;05:58:56;20:51:32;13:25:14;14:52:36;Sommerzeit;Immenstadt
05.08.2018;06:00:13;20:50:02;13:25:08;14:49:49;Sommerzeit;Immenstadt
06.08.2018;06:01:31;20:48:31;13:25:01;14:47:00;Sommerzeit;Immenstadt
07.08.2018;06:02:50;20:46:58;13:24:54;14:44:08;Sommerzeit;Immenstadt
08.08.2018;06:04:09;20:45:24;13:24:47;14:41:15;Sommerzeit;Immenstadt
09.08.2018;06:05:28;20:43:49;13:24:38;14:38:21;Sommerzeit;Immenstadt
10.08.2018;06:06:47;20:42:12;13:24:29;14:35:25;Sommerzeit;Immenstadt
11.08.2018;06:08:06;20:40:34;13:24:20;14:32:28;Sommerzeit;Immenstadt
12.08.2018;06:09:26;20:38:54;13:24:10;14:29:28;Sommerzeit;Immenstadt
13.08.2018;06:10:46;20:37:13;13:24:00;14:26:27;Sommerzeit;Immenstadt
14.08.2018;06:12:06;20:35:31;13:23:48;14:23:25;Sommerzeit;Immenstadt
15.08.2018;06:13:26;20:33:48;13:23:37;14:20:22;Sommerzeit;Immenstadt
16.08.2018;06:14:46;20:32:03;13:23:25;14:17:17;Sommerzeit;Immenstadt
17.08.2018;06:16:06;20:30:18;13:23:12;14:14:12;Sommerzeit;Immenstadt
18.08.2018;06:17:27;20:28:31;13:22:59;14:11:04;Sommerzeit;Immenstadt
19.08.2018;06:18:47;20:26:43;13:22:45;14:07:56;Sommerzeit;Immenstadt
20.08.2018;06:20:07;20:24:55;13:22:31;14:04:48;Sommerzeit;Immenstadt
21.08.2018;06:21:28;20:23:05;13:22:16;14:01:37;Sommerzeit;Immenstadt
22.08.2018;06:22:48;20:21:14;13:22:01;13:58:26;Sommerzeit;Immenstadt
23.08.2018;06:24:09;20:19:23;13:21:46;13:55:14;Sommerzeit;Immenstadt
24.08.2018;06:25:29;20:17:30;13:21:30;13:52:01;Sommerzeit;Immenstadt
25.08.2018;06:26:50;20:15:37;13:21:13;13:48:47;Sommerzeit;Immenstadt
26.08.2018;06:28:10;20:13:43;13:20:56;13:45:33;Sommerzeit;Immenstadt
27.08.2018;06:29:30;20:11:48;13:20:39;13:42:18;Sommerzeit;Immenstadt
28.08.2018;06:30:51;20:09:53;13:20:22;13:39:02;Sommerzeit;Immenstadt
29.08.2018;06:32:11;20:07:56;13:20:04;13:35:45;Sommerzeit;Immenstadt
30.08.2018;06:33:31;20:06:00;13:19:46;13:32:29;Sommerzeit;Immenstadt
31.08.2018;06:34:52;20:04:02;13:19:27;13:29:10;Sommerzeit;Immenstadt
01.09.2018;06:36:12;20:02:04;13:19:08;13:25:52;Sommerzeit;Immenstadt
02.09.2018;06:37:32;20:00:05;13:18:49;13:22:33;Sommerzeit;Immenstadt
03.09.2018;06:38:52;19:58:06;13:18:29;13:19:14;Sommerzeit;Immenstadt
04.09.2018;06:40:13;19:56:06;13:18:10;13:15:53;Sommerzeit;Immenstadt
05.09.2018;06:41:33;19:54:06;13:17:50;13:12:33;Sommerzeit;Immenstadt
06.09.2018;06:42:53;19:52:06;13:17:29;13:09:13;Sommerzeit;Immenstadt
07.09.2018;06:44:13;19:50:05;13:17:09;13:05:52;Sommerzeit;Immenstadt
08.09.2018;06:45:33;19:48:03;13:16:48;13:02:30;Sommerzeit;Immenstadt
