Datum;Sonnenaufgang;Sonnenuntergang;Mittag;Sonnenlicht (Std.);DST;Ort
01.09.2018;06:36:12;20:02:04;13:19:08;13:25:52;Sommerzeit;Immenstadt
02.09.2018;06:37:32;20:00:05;13:18:49;13:22:33;Sommerzeit;Immenstadt
03.09.2018;06:38:52;19:58:06;13:18:29;13:19:14;Sommerzeit;Immenstadt
04.09.2018;06:40:13;19:56:06;13:18:10;13:15:53;Sommerzeit;Immenstadt
05.09.2018;06:41:33;19:54:06;13:17:50;13:12:33;Sommerzeit;Immenstadt
06.09.2018;06:42:53;19:52:06;13:17:29;13:09:13;Sommerzeit;Immenstadt
07.09.2018;06:44:13;19:50:05;13:17:09;13:05:52;Sommerzeit;Immenstadt
08.09.2018;06:45:33;19:48:03;13:16:48;13:02:30;Sommerzeit;Immenstadt
09.09.2018;06:46:53;19:46:02;13:16:28;12:59:09;Sommerzeit;Immenstadt
10.09.2018;06:48:13;19:44:00;13:16:07;12:55:47;Sommerzeit;Immenstadt
11.09.2018;06:49:34;19:41:57;13:15:46;12:52:23;Sommerzeit;Immenstadt
12.09.2018;06:50:54;19:39:55;13:15:24;12:49:01;Sommerzeit;Immenstadt
13.09.2018;06:52:14;19:37:52;13:15:03;12:45:38;Sommerzeit;Immenstadt
14.09.2018;06:53:34;19:35:49;13:14:42;12:42:15;Sommerzeit;Immenstadt
15.09.2018;06:54:55;19:33:46;13:14:20;12:38:51;Sommerzeit;Immenstadt
16.09.2018;06:56:15;19:31:43;13:13:59;12:35:28;Sommerzeit;Immenstadt
17.09.2018;06:57:35;19:29:40;13:13:37;12:32:05;Sommerzeit;Immenstadt
18.09.2018;06:58:56;19:27:36;13:13:16;12:28:40;Sommerzeit;Immenstadt
19.09.2018;07:00:17;19:25:33;13:12:55;12:25:16;Sommerzeit;Immenstadt
20.09.2018;07:01:37;19:23:29;13:12:33;12:21:52;Sommerzeit;Immenstadt
21.09.2018;07:02:58;19:21:26;13:12:12;12:18:28;Sommerzeit;Immenstadt
22.09.2018;07:04:19;19:19:23;13:11:51;12:15:04;Sommerzeit;Immenstadt
23.09.2018;07:05:40;19:17:19;13:11:30;12:11:39;Sommerzeit;Immenstadt
24.09.2018;07:07:01;19:15:16;13:11:09;12:08:15;Sommerzeit;Immenstadt
25.09.2018;07:08:23;19:13:13;13:10:48;12:04:50;Sommerzeit;Immenstadt
26.09.2018;07:09:44;19:11:10;13:10:27;12:01:26;Sommerzeit;Immenstadt
27.09.2018;07:11:06;19:09:08;13:10:07;11:58:02;Sommerzeit;Immenstadt
28.09.2018;07:12:28;19:07:05;13:09:47;11:54:37;Sommerzeit;Immenstadt
29.09.2018;07:13:50;19:05:03;13:09:27;11:51:13;Sommerzeit;Immenstadt
30.09.2018;07:15:12;19:03:01;13:09:07;11:47:49;Sommerzeit;Immenstadt
