Datum;Sonnenaufgang;Sonnenuntergang;Mittag;Sonnenlicht (Std.);DST;Ort
01.12.2016;07:41:49;16:23:44;12:02:46;08:41:55;Winterzeit;München_Wildalpjochstr
02.12.2016;07:43:01;16:23:19;12:03:10;08:40:18;Winterzeit;München_Wildalpjochstr
03.12.2016;07:44:12;16:22:56;12:03:34;08:38:44;Winterzeit;München_Wildalpjochstr
04.12.2016;07:45:21;16:22:36;12:03:58;08:37:15;Winterzeit;München_Wildalpjochstr
05.12.2016;07:46:28;16:22:19;12:04:23;08:35:51;Winterzeit;München_Wildalpjochstr
06.12.2016;07:47:33;16:22:05;12:04:49;08:34:32;Winterzeit;München_Wildalpjochstr
07.12.2016;07:48:36;16:21:54;12:05:15;08:33:18;Winterzeit;München_Wildalpjochstr
08.12.2016;07:49:38;16:21:46;12:05:42;08:32:08;Winterzeit;München_Wildalpjochstr
09.12.2016;07:50:37;16:21:40;12:06:09;08:31:03;Winterzeit;München_Wildalpjochstr
10.12.2016;07:51:34;16:21:38;12:06:36;08:30:04;Winterzeit;München_Wildalpjochstr
11.12.2016;07:52:29;16:21:39;12:07:04;08:29:10;Winterzeit;München_Wildalpjochstr
12.12.2016;07:53:21;16:21:42;12:07:32;08:28:21;Winterzeit;München_Wildalpjochstr
13.12.2016;07:54:12;16:21:49;12:08:00;08:27:37;Winterzeit;München_Wildalpjochstr
14.12.2016;07:55:00;16:21:59;12:08:29;08:26:59;Winterzeit;München_Wildalpjochstr
15.12.2016;07:55:45;16:22:11;12:08:58;08:26:26;Winterzeit;München_Wildalpjochstr
16.12.2016;07:56:28;16:22:27;12:09:27;08:25:59;Winterzeit;München_Wildalpjochstr
17.12.2016;07:57:09;16:22:45;12:09:57;08:25:36;Winterzeit;München_Wildalpjochstr
18.12.2016;07:57:46;16:23:06;12:10:26;08:25:20;Winterzeit;München_Wildalpjochstr
19.12.2016;07:58:22;16:23:30;12:10:56;08:25:08;Winterzeit;München_Wildalpjochstr
20.12.2016;07:58:54;16:23:57;12:11:26;08:25:03;Winterzeit;München_Wildalpjochstr
21.12.2016;07:59:24;16:24:27;12:11:56;08:25:03;Winterzeit;München_Wildalpjochstr
22.12.2016;07:59:51;16:25:00;12:12:25;08:25:09;Winterzeit;München_Wildalpjochstr
23.12.2016;08:00:16;16:25:35;12:12:55;08:25:19;Winterzeit;München_Wildalpjochstr
24.12.2016;08:00:37;16:26:13;12:13:25;08:25:36;Winterzeit;München_Wildalpjochstr
25.12.2016;08:00:56;16:26:54;12:13:55;08:25:58;Winterzeit;München_Wildalpjochstr
26.12.2016;08:01:12;16:27:37;12:14:24;08:26:25;Winterzeit;München_Wildalpjochstr
27.12.2016;08:01:25;16:28:23;12:14:54;08:26:58;Winterzeit;München_Wildalpjochstr
28.12.2016;08:01:35;16:29:12;12:15:23;08:27:37;Winterzeit;München_Wildalpjochstr
29.12.2016;08:01:42;16:30:02;12:15:52;08:28:20;Winterzeit;München_Wildalpjochstr
30.12.2016;08:01:46;16:30:56;12:16:21;08:29:10;Winterzeit;München_Wildalpjochstr
31.12.2016;08:01:47;16:31:51;12:16:49;08:30:04;Winterzeit;München_Wildalpjochstr
