Datum;Sonnenaufgang;Sonnenuntergang;Mittag;Sonnenlicht (Std.);DST;Ort
01.06.2018;05:15:35;21:06:50;13:11:13;15:51:15;Sommerzeit;München
02.06.2018;05:14:57;21:07:47;13:11:22;15:52:50;Sommerzeit;München
03.06.2018;05:14:22;21:08:42;13:11:32;15:54:20;Sommerzeit;München
04.06.2018;05:13:49;21:09:35;13:11:42;15:55:46;Sommerzeit;München
05.06.2018;05:13:19;21:10:26;13:11:52;15:57:07;Sommerzeit;München
06.06.2018;05:12:51;21:11:15;13:12:03;15:58:24;Sommerzeit;München
07.06.2018;05:12:26;21:12:02;13:12:14;15:59:36;Sommerzeit;München
08.06.2018;05:12:04;21:12:48;13:12:26;16:00:44;Sommerzeit;München
09.06.2018;05:11:44;21:13:31;13:12:37;16:01:47;Sommerzeit;München
10.06.2018;05:11:27;21:14:11;13:12:49;16:02:44;Sommerzeit;München
11.06.2018;05:11:13;21:14:50;13:13:01;16:03:37;Sommerzeit;München
12.06.2018;05:11:01;21:15:26;13:13:14;16:04:25;Sommerzeit;München
13.06.2018;05:10:52;21:16:00;13:13:26;16:05:08;Sommerzeit;München
14.06.2018;05:10:46;21:16:32;13:13:39;16:05:46;Sommerzeit;München
15.06.2018;05:10:42;21:17:01;13:13:52;16:06:19;Sommerzeit;München
16.06.2018;05:10:41;21:17:28;13:14:05;16:06:47;Sommerzeit;München
17.06.2018;05:10:42;21:17:53;13:14:18;16:07:11;Sommerzeit;München
18.06.2018;05:10:47;21:18:15;13:14:31;16:07:28;Sommerzeit;München
19.06.2018;05:10:53;21:18:34;13:14:44;16:07:41;Sommerzeit;München
20.06.2018;05:11:03;21:18:51;13:14:57;16:07:48;Sommerzeit;München
21.06.2018;05:11:15;21:19:05;13:15:10;16:07:50;Sommerzeit;München
22.06.2018;05:11:29;21:19:17;13:15:23;16:07:48;Sommerzeit;München
23.06.2018;05:11:46;21:19:26;13:15:36;16:07:40;Sommerzeit;München
24.06.2018;05:12:06;21:19:32;13:15:49;16:07:26;Sommerzeit;München
25.06.2018;05:12:28;21:19:35;13:16:02;16:07:07;Sommerzeit;München
26.06.2018;05:12:52;21:19:36;13:16:14;16:06:44;Sommerzeit;München
27.06.2018;05:13:19;21:19:35;13:16:27;16:06:16;Sommerzeit;München
28.06.2018;05:13:48;21:19:30;13:16:39;16:05:42;Sommerzeit;München
29.06.2018;05:14:19;21:19:23;13:16:51;16:05:04;Sommerzeit;München
30.06.2018;05:14:53;21:19:13;13:17:03;16:04:20;Sommerzeit;München
01.07.2018;05:15:29;21:19:01;13:17:15;16:03:32;Sommerzeit;München
02.07.2018;05:16:07;21:18:45;13:17:26;16:02:38;Sommerzeit;München
03.07.2018;05:16:47;21:18:28;13:17:37;16:01:41;Sommerzeit;München
04.07.2018;05:17:30;21:18:07;13:17:48;16:00:37;Sommerzeit;München
05.07.2018;05:18:14;21:17:44;13:17:59;15:59:30;Sommerzeit;München
06.07.2018;05:19:00;21:17:18;13:18:09;15:58:18;Sommerzeit;München
07.07.2018;05:19:48;21:16:49;13:18:19;15:57:01;Sommerzeit;München
08.07.2018;05:20:39;21:16:18;13:18:28;15:55:39;Sommerzeit;München
09.07.2018;05:21:30;21:15:44;13:18:37;15:54:14;Sommerzeit;München
10.07.2018;05:22:24;21:15:08;13:18:46;15:52:44;Sommerzeit;München
11.07.2018;05:23:19;21:14:29;13:18:54;15:51:10;Sommerzeit;München
12.07.2018;05:24:16;21:13:47;13:19:02;15:49:31;Sommerzeit;München
13.07.2018;05:25:15;21:13:03;13:19:09;15:47:48;Sommerzeit;München
14.07.2018;05:26:15;21:12:17;13:19:16;15:46:02;Sommerzeit;München
15.07.2018;05:27:16;21:11:28;13:19:22;15:44:12;Sommerzeit;München
16.07.2018;05:28:19;21:10:36;13:19:28;15:42:17;Sommerzeit;München
17.07.2018;05:29:24;21:09:43;13:19:33;15:40:19;Sommerzeit;München
18.07.2018;05:30:29;21:08:46;13:19:38;15:38:17;Sommerzeit;München
19.07.2018;05:31:36;21:07:48;13:19:42;15:36:12;Sommerzeit;München
20.07.2018;05:32:44;21:06:47;13:19:46;15:34:03;Sommerzeit;München
21.07.2018;05:33:53;21:05:45;13:19:49;15:31:52;Sommerzeit;München
22.07.2018;05:35:03;21:04:40;13:19:51;15:29:37;Sommerzeit;München
23.07.2018;05:36:14;21:03:32;13:19:53;15:27:18;Sommerzeit;München
24.07.2018;05:37:26;21:02:23;13:19:54;15:24:57;Sommerzeit;München
25.07.2018;05:38:39;21:01:12;13:19:55;15:22:33;Sommerzeit;München
26.07.2018;05:39:53;20:59:58;13:19:55;15:20:05;Sommerzeit;München
27.07.2018;05:41:07;20:58:43;13:19:55;15:17:36;Sommerzeit;München
28.07.2018;05:42:22;20:57:25;13:19:54;15:15:03;Sommerzeit;München
29.07.2018;05:43:38;20:56:06;13:19:52;15:12:28;Sommerzeit;München
30.07.2018;05:44:55;20:54:45;13:19:50;15:09:50;Sommerzeit;München
31.07.2018;05:46:12;20:53:22;13:19:47;15:07:10;Sommerzeit;München
01.08.2018;05:47:30;20:51:57;13:19:44;15:04:27;Sommerzeit;München
02.08.2018;05:48:49;20:50:31;13:19:40;15:01:42;Sommerzeit;München
03.08.2018;05:50:07;20:49:02;13:19:35;14:58:55;Sommerzeit;München
04.08.2018;05:51:27;20:47:33;13:19:30;14:56:06;Sommerzeit;München
05.08.2018;05:52:46;20:46:01;13:19:24;14:53:15;Sommerzeit;München
06.08.2018;05:54:06;20:44:28;13:19:17;14:50:22;Sommerzeit;München
07.08.2018;05:55:27;20:42:54;13:19:10;14:47:27;Sommerzeit;München
08.08.2018;05:56:47;20:41:18;13:19:02;14:44:31;Sommerzeit;München
09.08.2018;05:58:08;20:39:40;13:18:54;14:41:32;Sommerzeit;München
10.08.2018;05:59:30;20:38:01;13:18:45;14:38:31;Sommerzeit;München
11.08.2018;06:00:51;20:36:21;13:18:36;14:35:30;Sommerzeit;München
12.08.2018;06:02:13;20:34:39;13:18:26;14:32:26;Sommerzeit;München
13.08.2018;06:03:35;20:32:56;13:18:15;14:29:21;Sommerzeit;München
14.08.2018;06:04:56;20:31:12;13:18:04;14:26:16;Sommerzeit;München
15.08.2018;06:06:19;20:29:27;13:17:53;14:23:08;Sommerzeit;München
16.08.2018;06:07:41;20:27:41;13:17:41;14:20:00;Sommerzeit;München
17.08.2018;06:09:03;20:25:53;13:17:28;14:16:50;Sommerzeit;München
18.08.2018;06:10:25;20:24:04;13:17:15;14:13:39;Sommerzeit;München
19.08.2018;06:11:48;20:22:15;13:17:01;14:10:27;Sommerzeit;München
20.08.2018;06:13:10;20:20:24;13:16:47;14:07:14;Sommerzeit;München
21.08.2018;06:14:33;20:18:32;13:16:32;14:03:59;Sommerzeit;München
22.08.2018;06:15:55;20:16:39;13:16:17;14:00:44;Sommerzeit;München
23.08.2018;06:17:18;20:14:46;13:16:02;13:57:28;Sommerzeit;München
24.08.2018;06:18:40;20:12:51;13:15:46;13:54:11;Sommerzeit;München
25.08.2018;06:20:03;20:10:56;13:15:29;13:50:53;Sommerzeit;München
26.08.2018;06:21:25;20:09:00;13:15:13;13:47:35;Sommerzeit;München
27.08.2018;06:22:47;20:07:03;13:14:55;13:44:16;Sommerzeit;München
28.08.2018;06:24:10;20:05:06;13:14:38;13:40:56;Sommerzeit;München
29.08.2018;06:25:32;20:03:07;13:14:20;13:37:35;Sommerzeit;München
30.08.2018;06:26:55;20:01:08;13:14:02;13:34:13;Sommerzeit;München
31.08.2018;06:28:17;19:59:09;13:13:43;13:30:52;Sommerzeit;München
01.09.2018;06:29:39;19:57:09;13:13:24;13:27:30;Sommerzeit;München
02.09.2018;06:31:02;19:55:08;13:13:05;13:24:06;Sommerzeit;München
03.09.2018;06:32:24;19:53:07;13:12:45;13:20:43;Sommerzeit;München
04.09.2018;06:33:46;19:51:05;13:12:26;13:17:19;Sommerzeit;München
05.09.2018;06:35:08;19:49:03;13:12:06;13:13:55;Sommerzeit;München
06.09.2018;06:36:30;19:47:00;13:11:45;13:10:30;Sommerzeit;München
07.09.2018;06:37:53;19:44:57;13:11:25;13:07:04;Sommerzeit;München
08.09.2018;06:39:15;19:42:54;13:11:04;13:03:39;Sommerzeit;München
09.09.2018;06:40:37;19:40:50;13:10:44;13:00:13;Sommerzeit;München
10.09.2018;06:41:59;19:38:46;13:10:23;12:56:47;Sommerzeit;München
11.09.2018;06:43:21;19:36:42;13:10:02;12:53:21;Sommerzeit;München
12.09.2018;06:44:44;19:34:37;13:09:40;12:49:53;Sommerzeit;München
13.09.2018;06:46:06;19:32:32;13:09:19;12:46:26;Sommerzeit;München
14.09.2018;06:47:28;19:30:27;13:08:58;12:42:59;Sommerzeit;München
15.09.2018;06:48:50;19:28:22;13:08:36;12:39:32;Sommerzeit;München
16.09.2018;06:50:13;19:26:17;13:08:15;12:36:04;Sommerzeit;München
17.09.2018;06:51:35;19:24:12;13:07:54;12:32:37;Sommerzeit;München
18.09.2018;06:52:58;19:22:06;13:07:32;12:29:08;Sommerzeit;München
19.09.2018;06:54:21;19:20:01;13:07:11;12:25:40;Sommerzeit;München
20.09.2018;06:55:43;19:17:55;13:06:49;12:22:12;Sommerzeit;München
21.09.2018;06:57:06;19:15:50;13:06:28;12:18:44;Sommerzeit;München
22.09.2018;06:58:29;19:13:45;13:06:07;12:15:16;Sommerzeit;München
23.09.2018;06:59:52;19:11:39;13:05:46;12:11:47;Sommerzeit;München
24.09.2018;07:01:15;19:09:34;13:05:25;12:08:19;Sommerzeit;München
25.09.2018;07:02:39;19:07:29;13:05:04;12:04:50;Sommerzeit;München
26.09.2018;07:04:02;19:05:24;13:04:43;12:01:22;Sommerzeit;München
27.09.2018;07:05:26;19:03:20;13:04:23;11:57:54;Sommerzeit;München
28.09.2018;07:06:50;19:01:15;13:04:03;11:54:25;Sommerzeit;München
29.09.2018;07:08:14;18:59:11;13:03:43;11:50:57;Sommerzeit;München
30.09.2018;07:09:38;18:57:07;13:03:23;11:47:29;Sommerzeit;München
01.10.2018;07:11:03;18:55:04;13:03:03;11:44:01;Sommerzeit;München
02.10.2018;07:12:28;18:53:00;13:02:44;11:40:32;Sommerzeit;München
03.10.2018;07:13:53;18:50:58;13:02:25;11:37:05;Sommerzeit;München
04.10.2018;07:15:18;18:48:55;13:02:07;11:33:37;Sommerzeit;München
05.10.2018;07:16:43;18:46:53;13:01:48;11:30:10;Sommerzeit;München
06.10.2018;07:18:09;18:44:52;13:01:31;11:26:43;Sommerzeit;München
07.10.2018;07:19:35;18:42:51;13:01:13;11:23:16;Sommerzeit;München
08.10.2018;07:21:01;18:40:51;13:00:56;11:19:50;Sommerzeit;München
09.10.2018;07:22:28;18:38:51;13:00:40;11:16:23;Sommerzeit;München
10.10.2018;07:23:55;18:36:52;13:00:23;11:12:57;Sommerzeit;München
11.10.2018;07:25:22;18:34:54;13:00:08;11:09:32;Sommerzeit;München
12.10.2018;07:26:49;18:32:56;12:59:52;11:06:07;Sommerzeit;München
13.10.2018;07:28:17;18:30:59;12:59:38;11:02:42;Sommerzeit;München
14.10.2018;07:29:45;18:29:02;12:59:24;10:59:17;Sommerzeit;München
15.10.2018;07:31:13;18:27:07;12:59:10;10:55:54;Sommerzeit;München
16.10.2018;07:32:42;18:25:12;12:58:57;10:52:30;Sommerzeit;München
17.10.2018;07:34:10;18:23:19;12:58:45;10:49:09;Sommerzeit;München
18.10.2018;07:35:40;18:21:26;12:58:33;10:45:46;Sommerzeit;München
19.10.2018;07:37:09;18:19:34;12:58:21;10:42:25;Sommerzeit;München
20.10.2018;07:38:39;18:17:43;12:58:11;10:39:04;Sommerzeit;München
21.10.2018;07:40:09;18:15:53;12:58:01;10:35:44;Sommerzeit;München
22.10.2018;07:41:39;18:14:04;12:57:51;10:32:25;Sommerzeit;München
23.10.2018;07:43:09;18:12:16;12:57:43;10:29:07;Sommerzeit;München
24.10.2018;07:44:40;18:10:30;12:57:35;10:25:50;Sommerzeit;München
25.10.2018;07:46:11;18:08:44;12:57:28;10:22:33;Sommerzeit;München
26.10.2018;07:47:42;18:07:00;12:57:21;10:19:18;Sommerzeit;München
27.10.2018;07:49:14;18:05:17;12:57:15;10:16:03;Sommerzeit;München
28.10.2018;06:50:45;17:03:35;11:57:10;10:12:50;Winterzeit;München
29.10.2018;06:52:17;17:01:55;11:57:06;10:09:38;Winterzeit;München
30.10.2018;06:53:49;17:00:16;11:57:02;10:06:27;Winterzeit;München
31.10.2018;06:55:21;16:58:38;11:57:00;10:03:17;Winterzeit;München
01.11.2018;06:56:54;16:57:02;11:56:58;10:00:08;Winterzeit;München
02.11.2018;06:58:26;16:55:27;11:56:57;09:57:01;Winterzeit;München
03.11.2018;06:59:58;16:53:54;11:56:56;09:53:56;Winterzeit;München
04.11.2018;07:01:31;16:52:23;11:56:57;09:50:52;Winterzeit;München
05.11.2018;07:03:03;16:50:53;11:56:58;09:47:50;Winterzeit;München
06.11.2018;07:04:35;16:49:25;11:57:00;09:44:50;Winterzeit;München
07.11.2018;07:06:08;16:47:59;11:57:03;09:41:51;Winterzeit;München
08.11.2018;07:07:40;16:46:34;11:57:07;09:38:54;Winterzeit;München
09.11.2018;07:09:12;16:45:11;11:57:12;09:35:59;Winterzeit;München
10.11.2018;07:10:44;16:43:51;11:57:17;09:33:07;Winterzeit;München
11.11.2018;07:12:15;16:42:32;11:57:23;09:30:17;Winterzeit;München
12.11.2018;07:13:47;16:41:15;11:57:31;09:27:28;Winterzeit;München
13.11.2018;07:15:18;16:40:00;11:57:39;09:24:42;Winterzeit;München
14.11.2018;07:16:48;16:38:47;11:57:48;09:21:59;Winterzeit;München
15.11.2018;07:18:18;16:37:36;11:57:57;09:19:18;Winterzeit;München
16.11.2018;07:19:48;16:36:28;11:58:08;09:16:40;Winterzeit;München
17.11.2018;07:21:17;16:35:21;11:58:19;09:14:04;Winterzeit;München
18.11.2018;07:22:46;16:34:17;11:58:32;09:11:31;Winterzeit;München
19.11.2018;07:24:14;16:33:15;11:58:45;09:09:01;Winterzeit;München
20.11.2018;07:25:42;16:32:16;11:58:59;09:06:34;Winterzeit;München
21.11.2018;07:27:08;16:31:18;11:59:13;09:04:10;Winterzeit;München
22.11.2018;07:28:34;16:30:24;11:59:29;09:01:50;Winterzeit;München
23.11.2018;07:29:59;16:29:32;11:59:45;08:59:33;Winterzeit;München
24.11.2018;07:31:23;16:28:42;12:00:02;08:57:19;Winterzeit;München
25.11.2018;07:32:45;16:27:55;12:00:20;08:55:10;Winterzeit;München
26.11.2018;07:34:07;16:27:10;12:00:39;08:53:03;Winterzeit;München
27.11.2018;07:35:28;16:26:28;12:00:58;08:51:00;Winterzeit;München
28.11.2018;07:36:47;16:25:49;12:01:18;08:49:02;Winterzeit;München
29.11.2018;07:38:05;16:25:12;12:01:39;08:47:07;Winterzeit;München
30.11.2018;07:39:22;16:24:38;12:02:00;08:45:16;Winterzeit;München
01.12.2018;07:40:37;16:24:07;12:02:22;08:43:30;Winterzeit;München
02.12.2018;07:41:51;16:23:39;12:02:45;08:41:48;Winterzeit;München
03.12.2018;07:43:03;16:23:14;12:03:08;08:40:11;Winterzeit;München
04.12.2018;07:44:14;16:22:51;12:03:32;08:38:37;Winterzeit;München
05.12.2018;07:45:23;16:22:31;12:03:57;08:37:08;Winterzeit;München
06.12.2018;07:46:30;16:22:14;12:04:22;08:35:44;Winterzeit;München
