Datum;Sonnenaufgang;Sonnenuntergang;Mittag;Sonnenlicht (Std.);DST;Ort
01.07.2018;05:15:29;21:19:01;13:17:15;16:03:32;Sommerzeit;München
02.07.2018;05:16:07;21:18:45;13:17:26;16:02:38;Sommerzeit;München
03.07.2018;05:16:47;21:18:28;13:17:37;16:01:41;Sommerzeit;München
04.07.2018;05:17:30;21:18:07;13:17:48;16:00:37;Sommerzeit;München
05.07.2018;05:18:14;21:17:44;13:17:59;15:59:30;Sommerzeit;München
06.07.2018;05:19:00;21:17:18;13:18:09;15:58:18;Sommerzeit;München
07.07.2018;05:19:48;21:16:49;13:18:19;15:57:01;Sommerzeit;München
08.07.2018;05:20:39;21:16:18;13:18:28;15:55:39;Sommerzeit;München
09.07.2018;05:21:30;21:15:44;13:18:37;15:54:14;Sommerzeit;München
10.07.2018;05:22:24;21:15:08;13:18:46;15:52:44;Sommerzeit;München
11.07.2018;05:23:19;21:14:29;13:18:54;15:51:10;Sommerzeit;München
12.07.2018;05:24:16;21:13:47;13:19:02;15:49:31;Sommerzeit;München
13.07.2018;05:25:15;21:13:03;13:19:09;15:47:48;Sommerzeit;München
14.07.2018;05:26:15;21:12:17;13:19:16;15:46:02;Sommerzeit;München
15.07.2018;05:27:16;21:11:28;13:19:22;15:44:12;Sommerzeit;München
16.07.2018;05:28:19;21:10:36;13:19:28;15:42:17;Sommerzeit;München
17.07.2018;05:29:24;21:09:43;13:19:33;15:40:19;Sommerzeit;München
18.07.2018;05:30:29;21:08:46;13:19:38;15:38:17;Sommerzeit;München
19.07.2018;05:31:36;21:07:48;13:19:42;15:36:12;Sommerzeit;München
20.07.2018;05:32:44;21:06:47;13:19:46;15:34:03;Sommerzeit;München
21.07.2018;05:33:53;21:05:45;13:19:49;15:31:52;Sommerzeit;München
22.07.2018;05:35:03;21:04:40;13:19:51;15:29:37;Sommerzeit;München
23.07.2018;05:36:14;21:03:32;13:19:53;15:27:18;Sommerzeit;München
24.07.2018;05:37:26;21:02:23;13:19:54;15:24:57;Sommerzeit;München
25.07.2018;05:38:39;21:01:12;13:19:55;15:22:33;Sommerzeit;München
26.07.2018;05:39:53;20:59:58;13:19:55;15:20:05;Sommerzeit;München
27.07.2018;05:41:07;20:58:43;13:19:55;15:17:36;Sommerzeit;München
28.07.2018;05:42:22;20:57:25;13:19:54;15:15:03;Sommerzeit;München
29.07.2018;05:43:38;20:56:06;13:19:52;15:12:28;Sommerzeit;München
30.07.2018;05:44:55;20:54:45;13:19:50;15:09:50;Sommerzeit;München
31.07.2018;05:46:12;20:53:22;13:19:47;15:07:10;Sommerzeit;München
