Datum;Sonnenaufgang;Sonnenuntergang;Mittag;Sonnenlicht (Std.);DST;Ort
01.03.2017;06:51:29;17:59:45;12:25:37;11:08:16;Winterzeit;München_Wildalpjochstr
02.03.2017;06:49:32;18:01:17;12:25:25;11:11:45;Winterzeit;München_Wildalpjochstr
03.03.2017;06:47:35;18:02:48;12:25:12;11:15:13;Winterzeit;München_Wildalpjochstr
04.03.2017;06:45:38;18:04:20;12:24:59;11:18:42;Winterzeit;München_Wildalpjochstr
05.03.2017;06:43:39;18:05:51;12:24:45;11:22:12;Winterzeit;München_Wildalpjochstr
06.03.2017;06:41:40;18:07:22;12:24:31;11:25:42;Winterzeit;München_Wildalpjochstr
07.03.2017;06:39:41;18:08:52;12:24:17;11:29:11;Winterzeit;München_Wildalpjochstr
08.03.2017;06:37:41;18:10:23;12:24:02;11:32:42;Winterzeit;München_Wildalpjochstr
09.03.2017;06:35:40;18:11:53;12:23:47;11:36:13;Winterzeit;München_Wildalpjochstr
10.03.2017;06:33:39;18:13:23;12:23:31;11:39:44;Winterzeit;München_Wildalpjochstr
11.03.2017;06:31:38;18:14:52;12:23:15;11:43:14;Winterzeit;München_Wildalpjochstr
12.03.2017;06:29:36;18:16:22;12:22:59;11:46:46;Winterzeit;München_Wildalpjochstr
13.03.2017;06:27:34;18:17:51;12:22:43;11:50:17;Winterzeit;München_Wildalpjochstr
14.03.2017;06:25:32;18:19:20;12:22:26;11:53:48;Winterzeit;München_Wildalpjochstr
15.03.2017;06:23:29;18:20:49;12:22:09;11:57:20;Winterzeit;München_Wildalpjochstr
16.03.2017;06:21:26;18:22:18;12:21:52;12:00:52;Winterzeit;München_Wildalpjochstr
17.03.2017;06:19:23;18:23:46;12:21:35;12:04:23;Winterzeit;München_Wildalpjochstr
18.03.2017;06:17:20;18:25:15;12:21:17;12:07:55;Winterzeit;München_Wildalpjochstr
19.03.2017;06:15:17;18:26:43;12:21:00;12:11:26;Winterzeit;München_Wildalpjochstr
20.03.2017;06:13:13;18:28:11;12:20:42;12:14:58;Winterzeit;München_Wildalpjochstr
21.03.2017;06:11:09;18:29:39;12:20:24;12:18:30;Winterzeit;München_Wildalpjochstr
22.03.2017;06:09:06;18:31:06;12:20:06;12:22:00;Winterzeit;München_Wildalpjochstr
23.03.2017;06:07:02;18:32:34;12:19:48;12:25:32;Winterzeit;München_Wildalpjochstr
24.03.2017;06:04:58;18:34:02;12:19:30;12:29:04;Winterzeit;München_Wildalpjochstr
25.03.2017;06:02:55;18:35:29;12:19:12;12:32:34;Winterzeit;München_Wildalpjochstr
26.03.2017;07:00:56;19:36:53;13:18:54;12:35:57;Sommerzeit;München_Wildalpjochstr
27.03.2017;06:58:53;19:38:20;13:18:36;12:39:27;Sommerzeit;München_Wildalpjochstr
28.03.2017;06:56:49;19:39:47;13:18:18;12:42:58;Sommerzeit;München_Wildalpjochstr
29.03.2017;06:54:46;19:41:14;13:18:00;12:46:28;Sommerzeit;München_Wildalpjochstr
30.03.2017;06:52:43;19:42:42;13:17:42;12:49:59;Sommerzeit;München_Wildalpjochstr
31.03.2017;06:50:40;19:44:09;13:17:24;12:53:29;Sommerzeit;München_Wildalpjochstr
