Datum;Sonnenaufgang;Sonnenuntergang;Mittag;Sonnenlicht (Std.);DST;Ort
01.06.2018;05:11:57;21:15:06;13:13:31;16:03:09;Sommerzeit;Nürnberg
02.06.2018;05:11:16;21:16:05;13:13:41;16:04:49;Sommerzeit;Nürnberg
03.06.2018;05:10:38;21:17:03;13:13:50;16:06:25;Sommerzeit;Nürnberg
04.06.2018;05:10:02;21:17:59;13:14:01;16:07:57;Sommerzeit;Nürnberg
05.06.2018;05:09:30;21:18:53;13:14:11;16:09:23;Sommerzeit;Nürnberg
06.06.2018;05:09:00;21:19:44;13:14:22;16:10:44;Sommerzeit;Nürnberg
07.06.2018;05:08:32;21:20:34;13:14:33;16:12:02;Sommerzeit;Nürnberg
08.06.2018;05:08:08;21:21:21;13:14:44;16:13:13;Sommerzeit;Nürnberg
09.06.2018;05:07:46;21:22:06;13:14:56;16:14:20;Sommerzeit;Nürnberg
10.06.2018;05:07:27;21:22:49;13:15:08;16:15:22;Sommerzeit;Nürnberg
11.06.2018;05:07:11;21:23:29;13:15:20;16:16:18;Sommerzeit;Nürnberg
12.06.2018;05:06:58;21:24:07;13:15:32;16:17:09;Sommerzeit;Nürnberg
13.06.2018;05:06:47;21:24:43;13:15:45;16:17:56;Sommerzeit;Nürnberg
14.06.2018;05:06:40;21:25:16;13:15:58;16:18:36;Sommerzeit;Nürnberg
15.06.2018;05:06:35;21:25:46;13:16:10;16:19:11;Sommerzeit;Nürnberg
16.06.2018;05:06:33;21:26:14;13:16:23;16:19:41;Sommerzeit;Nürnberg
17.06.2018;05:06:34;21:26:39;13:16:36;16:20:05;Sommerzeit;Nürnberg
18.06.2018;05:06:37;21:27:01;13:16:49;16:20:24;Sommerzeit;Nürnberg
19.06.2018;05:06:44;21:27:21;13:17:02;16:20:37;Sommerzeit;Nürnberg
20.06.2018;05:06:53;21:27:38;13:17:15;16:20:45;Sommerzeit;Nürnberg
21.06.2018;05:07:05;21:27:52;13:17:28;16:20:47;Sommerzeit;Nürnberg
22.06.2018;05:07:19;21:28:04;13:17:42;16:20:45;Sommerzeit;Nürnberg
23.06.2018;05:07:36;21:28:13;13:17:54;16:20:37;Sommerzeit;Nürnberg
24.06.2018;05:07:56;21:28:18;13:18:07;16:20:22;Sommerzeit;Nürnberg
25.06.2018;05:08:19;21:28:22;13:18:20;16:20:03;Sommerzeit;Nürnberg
26.06.2018;05:08:44;21:28:22;13:18:33;16:19:38;Sommerzeit;Nürnberg
27.06.2018;05:09:12;21:28:19;13:18:45;16:19:07;Sommerzeit;Nürnberg
28.06.2018;05:09:42;21:28:13;13:18:58;16:18:31;Sommerzeit;Nürnberg
29.06.2018;05:10:15;21:28:05;13:19:10;16:17:50;Sommerzeit;Nürnberg
30.06.2018;05:10:50;21:27:54;13:19:22;16:17:04;Sommerzeit;Nürnberg
01.07.2018;05:11:27;21:27:40;13:19:33;16:16:13;Sommerzeit;Nürnberg
02.07.2018;05:12:07;21:27:23;13:19:45;16:15:16;Sommerzeit;Nürnberg
03.07.2018;05:12:49;21:27:03;13:19:56;16:14:14;Sommerzeit;Nürnberg
04.07.2018;05:13:34;21:26:40;13:20:07;16:13:06;Sommerzeit;Nürnberg
05.07.2018;05:14:20;21:26:15;13:20:17;16:11:55;Sommerzeit;Nürnberg
06.07.2018;05:15:09;21:25:46;13:20:28;16:10:37;Sommerzeit;Nürnberg
07.07.2018;05:16:00;21:25:15;13:20:37;16:09:15;Sommerzeit;Nürnberg
08.07.2018;05:16:52;21:24:41;13:20:47;16:07:49;Sommerzeit;Nürnberg
09.07.2018;05:17:47;21:24:05;13:20:56;16:06:18;Sommerzeit;Nürnberg
10.07.2018;05:18:43;21:23:25;13:21:04;16:04:42;Sommerzeit;Nürnberg
11.07.2018;05:19:42;21:22:44;13:21:13;16:03:02;Sommerzeit;Nürnberg
12.07.2018;05:20:42;21:21:59;13:21:20;16:01:17;Sommerzeit;Nürnberg
13.07.2018;05:21:43;21:21:12;13:21:28;15:59:29;Sommerzeit;Nürnberg
14.07.2018;05:22:47;21:20:22;13:21:34;15:57:35;Sommerzeit;Nürnberg
15.07.2018;05:23:52;21:19:29;13:21:41;15:55:37;Sommerzeit;Nürnberg
16.07.2018;05:24:58;21:18:35;13:21:46;15:53:37;Sommerzeit;Nürnberg
17.07.2018;05:26:06;21:17:37;13:21:52;15:51:31;Sommerzeit;Nürnberg
18.07.2018;05:27:15;21:16:37;13:21:56;15:49:22;Sommerzeit;Nürnberg
19.07.2018;05:28:26;21:15:35;13:22:01;15:47:09;Sommerzeit;Nürnberg
