Datum;Sonnenaufgang;Sonnenuntergang;Mittag;Sonnenlicht (Std.);DST;Ort
01.07.2018;05:11:27;21:27:40;13:19:33;16:16:13;Sommerzeit;Nürnberg
02.07.2018;05:12:07;21:27:23;13:19:45;16:15:16;Sommerzeit;Nürnberg
03.07.2018;05:12:49;21:27:03;13:19:56;16:14:14;Sommerzeit;Nürnberg
04.07.2018;05:13:34;21:26:40;13:20:07;16:13:06;Sommerzeit;Nürnberg
05.07.2018;05:14:20;21:26:15;13:20:17;16:11:55;Sommerzeit;Nürnberg
06.07.2018;05:15:09;21:25:46;13:20:28;16:10:37;Sommerzeit;Nürnberg
07.07.2018;05:16:00;21:25:15;13:20:37;16:09:15;Sommerzeit;Nürnberg
08.07.2018;05:16:52;21:24:41;13:20:47;16:07:49;Sommerzeit;Nürnberg
09.07.2018;05:17:47;21:24:05;13:20:56;16:06:18;Sommerzeit;Nürnberg
10.07.2018;05:18:43;21:23:25;13:21:04;16:04:42;Sommerzeit;Nürnberg
11.07.2018;05:19:42;21:22:44;13:21:13;16:03:02;Sommerzeit;Nürnberg
12.07.2018;05:20:42;21:21:59;13:21:20;16:01:17;Sommerzeit;Nürnberg
13.07.2018;05:21:43;21:21:12;13:21:28;15:59:29;Sommerzeit;Nürnberg
14.07.2018;05:22:47;21:20:22;13:21:34;15:57:35;Sommerzeit;Nürnberg
15.07.2018;05:23:52;21:19:29;13:21:41;15:55:37;Sommerzeit;Nürnberg
16.07.2018;05:24:58;21:18:35;13:21:46;15:53:37;Sommerzeit;Nürnberg
17.07.2018;05:26:06;21:17:37;13:21:52;15:51:31;Sommerzeit;Nürnberg
18.07.2018;05:27:15;21:16:37;13:21:56;15:49:22;Sommerzeit;Nürnberg
19.07.2018;05:28:26;21:15:35;13:22:01;15:47:09;Sommerzeit;Nürnberg
20.07.2018;05:29:38;21:14:31;13:22:04;15:44:53;Sommerzeit;Nürnberg
21.07.2018;05:30:51;21:13:24;13:22:07;15:42:33;Sommerzeit;Nürnberg
22.07.2018;05:32:05;21:12:15;13:22:10;15:40:10;Sommerzeit;Nürnberg
23.07.2018;05:33:20;21:11:03;13:22:12;15:37:43;Sommerzeit;Nürnberg
24.07.2018;05:34:36;21:09:50;13:22:13;15:35:14;Sommerzeit;Nürnberg
25.07.2018;05:35:54;21:08:34;13:22:14;15:32:40;Sommerzeit;Nürnberg
26.07.2018;05:37:12;21:07:16;13:22:14;15:30:04;Sommerzeit;Nürnberg
27.07.2018;05:38:31;21:05:56;13:22:14;15:27:25;Sommerzeit;Nürnberg
28.07.2018;05:39:50;21:04:34;13:22:12;15:24:44;Sommerzeit;Nürnberg
29.07.2018;05:41:11;21:03:11;13:22:11;15:22:00;Sommerzeit;Nürnberg
30.07.2018;05:42:32;21:01:45;13:22:09;15:19:13;Sommerzeit;Nürnberg
31.07.2018;05:43:54;21:00:17;13:22:06;15:16:23;Sommerzeit;Nürnberg
